Match_ID,Match_Date,Pitch_Type,Phase,Over,Ball,Bowler,Batter_Avg,Batter_SR,Runs_Conceded,Is_Wicket
29504,12-Apr-23,Neutral,Powerplay,1,1,Bowler B,17.97,133.25,0,1
96402,30-Nov-23,Batting,Powerplay,5,1,Bowler A,20.51,119.98,0,0
27383,07-Nov-22,Neutral,Powerplay,1,5,Bowler B,30.05,124.73,2,0
99624,10-Apr-22,Batting,Powerplay,5,3,Bowler B,21.29,147.69,1,0
65569,23-Jun-23,Neutral,Powerplay,5,3,Bowler B,34.89,117.51,0,0
67290,22-Jan-23,Batting,Powerplay,1,3,Bowler B,25.08,134.15,0,0
54941,03-May-22,Bowling,Powerplay,3,5,Bowler B,31.71,148.36,0,0
44072,26-May-23,Batting,Powerplay,3,3,Bowler B,7.39,121.42,0,0
86907,12-Jul-23,Neutral,Powerplay,6,5,Bowler B,30.4,96.45,3,0
43487,09-Jul-23,Neutral,Powerplay,5,3,Bowler A,27.17,105.35,2,0
20547,12-Oct-23,Bowling,Powerplay,3,6,Bowler B,20.02,116.01,4,0
55406,26-May-23,Neutral,Death,18,2,Bowler B,39.08,168.33,4,0
52154,07-Aug-23,Neutral,Powerplay,2,2,Bowler B,28.12,134.89,4,0
30193,26-Dec-22,Batting,Powerplay,3,5,Bowler B,21.26,144.07,0,0
71331,19-Feb-22,Neutral,Death,19,1,Bowler B,39.6,147.21,6,0
40988,16-Feb-23,Neutral,Powerplay,3,1,Bowler A,27.19,144.01,0,0
92124,03-Oct-23,Neutral,Powerplay,3,4,Bowler B,30.31,127.45,2,0
13641,03-Apr-22,Bowling,Powerplay,4,2,Bowler A,11.16,160.63,0,1
45909,09-Sep-22,Batting,Death,17,2,Bowler A,15.87,157.25,4,0
49321,23-Oct-22,Batting,Death,19,2,Bowler A,36.11,153.05,2,0
44207,26-Jan-22,Neutral,Death,16,4,Bowler A,20.38,163.74,0,0
28058,16-Oct-22,Batting,Death,19,3,Bowler A,16.15,144.07,2,0
36872,14-May-22,Neutral,Powerplay,2,4,Bowler A,26.35,121.41,2,0
45687,27-May-22,Batting,Powerplay,4,2,Bowler B,21.03,118.83,6,0
95981,25-Oct-22,Batting,Death,18,4,Bowler A,37.31,133.82,0,1
12853,08-Jul-22,Bowling,Death,16,1,Bowler B,21.64,171.41,1,0
89756,12-Jun-22,Batting,Powerplay,1,2,Bowler B,21.01,128.47,0,0
65569,23-Jun-23,Neutral,Death,16,6,Bowler B,20.98,146.13,6,0
29504,12-Apr-23,Neutral,Death,18,4,Bowler B,48.16,146.03,2,0
60697,21-Mar-22,Bowling,Powerplay,2,5,Bowler B,21.59,125.55,0,1
68414,10-Jul-22,Neutral,Powerplay,3,1,Bowler B,40.18,136.57,0,0
28452,30-Aug-22,Bowling,Powerplay,5,2,Bowler A,27.17,141.7,1,0
56040,26-Jul-22,Bowling,Powerplay,6,1,Bowler A,20.87,134.79,0,0
12853,08-Jul-22,Bowling,Powerplay,3,5,Bowler B,31.16,126.51,0,0
55242,19-Aug-23,Neutral,Death,16,2,Bowler A,8.96,153.98,4,0
97694,01-Sep-22,Bowling,Powerplay,6,4,Bowler B,10.64,115.67,0,0
20304,27-Jan-22,Bowling,Powerplay,5,6,Bowler B,37.22,112.32,0,1
66160,08-Nov-22,Neutral,Death,19,5,Bowler B,26,145.79,0,1
80631,15-Mar-22,Neutral,Powerplay,6,1,Bowler B,32.87,125.02,4,0
44961,02-Feb-22,Neutral,Powerplay,4,5,Bowler B,19.01,122.16,4,0
13641,03-Apr-22,Bowling,Death,17,5,Bowler A,37.93,139.87,1,0
82131,05-May-23,Bowling,Death,20,3,Bowler B,54.6,156.26,2,0
11951,17-Jan-22,Bowling,Death,17,6,Bowler A,40.19,130.45,0,0
42535,09-Aug-22,Bowling,Death,17,2,Bowler A,37.13,143.32,1,0
88515,01-Dec-23,Neutral,Powerplay,2,3,Bowler B,26.07,117.27,0,0
91948,16-Jan-22,Neutral,Powerplay,1,4,Bowler A,33.03,124.64,1,0
45687,27-May-22,Batting,Death,19,2,Bowler B,36.34,112.01,1,0
49321,23-Oct-22,Batting,Powerplay,5,5,Bowler A,33.73,98.4,4,0
19921,24-May-22,Batting,Powerplay,5,5,Bowler A,44.97,126.58,1,0
82588,08-Jun-22,Bowling,Death,16,3,Bowler A,51.73,158.38,1,0
52154,07-Aug-23,Neutral,Powerplay,5,1,Bowler B,27.28,165.23,0,0
70824,30-Aug-23,Batting,Powerplay,5,6,Bowler A,18.77,147.06,0,0
16523,20-Oct-23,Bowling,Powerplay,6,1,Bowler A,37.28,144.6,1,0
26066,18-Sep-23,Neutral,Powerplay,6,6,Bowler B,35.55,130.82,2,0
58511,17-Sep-22,Neutral,Death,17,3,Bowler A,28.05,181.14,0,0
69902,03-Apr-23,Bowling,Death,20,3,Bowler A,30.52,129.91,0,0
89431,30-Jan-22,Batting,Death,16,3,Bowler A,50.4,142.74,1,0
92124,03-Oct-23,Neutral,Death,20,1,Bowler B,48.63,124.37,4,0
66160,08-Nov-22,Neutral,Powerplay,6,6,Bowler B,36.27,144.42,0,0
49931,15-Mar-23,Bowling,Death,18,6,Bowler B,24.99,162.25,0,1
50148,30-Jun-22,Neutral,Death,20,5,Bowler B,35.23,104.45,0,0
31395,21-Dec-22,Neutral,Powerplay,1,6,Bowler B,31.77,152,0,0
27349,20-May-23,Neutral,Powerplay,6,4,Bowler B,35.7,147.48,4,0
62269,03-Nov-23,Batting,Powerplay,6,6,Bowler A,41.49,123.1,1,0
33401,27-Aug-23,Neutral,Powerplay,3,4,Bowler B,23.59,116.41,0,0
35185,16-May-22,Batting,Death,19,3,Bowler B,39.95,117.72,6,0
48165,22-Sep-22,Neutral,Death,20,1,Bowler A,43.2,166.35,2,0
98478,29-Jan-23,Bowling,Death,20,3,Bowler A,35.9,144.71,0,0
20304,27-Jan-22,Bowling,Death,19,6,Bowler B,34.18,161.27,4,0
88515,01-Dec-23,Neutral,Death,17,1,Bowler B,41.92,140.86,0,0
77957,21-Mar-22,Neutral,Powerplay,1,2,Bowler A,50.53,94.14,0,0
79806,11-Aug-23,Batting,Powerplay,2,1,Bowler A,35.92,136.37,0,0
25078,22-Oct-22,Neutral,Powerplay,1,4,Bowler A,37.28,124.35,3,0
33459,13-May-23,Batting,Powerplay,1,5,Bowler B,23.21,102.6,0,0
97235,27-Oct-22,Batting,Powerplay,3,1,Bowler A,20.65,122.5,3,0
36649,28-Aug-23,Batting,Powerplay,5,2,Bowler A,21.51,135.83,0,0
65569,23-Jun-23,Neutral,Death,16,4,Bowler B,51.18,126.05,1,0
49282,23-Oct-23,Batting,Powerplay,1,1,Bowler A,22.62,120.17,1,0
99317,12-Sep-22,Batting,Powerplay,6,1,Bowler A,47.71,134.9,2,0
13641,03-Apr-22,Bowling,Death,17,6,Bowler A,34.62,180.03,0,0
70824,30-Aug-23,Batting,Death,17,1,Bowler A,50.9,161.48,1,0
87360,17-Apr-23,Batting,Powerplay,6,6,Bowler A,33,135.69,0,0
16523,20-Oct-23,Bowling,Powerplay,6,6,Bowler A,24.94,119.79,0,0
60341,04-Oct-23,Bowling,Death,17,5,Bowler A,38.52,132.56,0,1
69902,03-Apr-23,Bowling,Death,20,1,Bowler A,41.37,123.24,1,0
43149,20-Nov-23,Batting,Death,20,5,Bowler B,34.88,131.56,0,1
39738,18-Sep-23,Neutral,Powerplay,6,4,Bowler B,20.77,128.35,0,0
90102,07-Mar-22,Batting,Powerplay,5,6,Bowler A,41.45,118.74,0,0
95981,25-Oct-22,Batting,Death,20,2,Bowler A,62.34,151.88,1,0
31395,21-Dec-22,Neutral,Death,17,4,Bowler B,49.68,149.39,4,0
20304,27-Jan-22,Bowling,Powerplay,5,5,Bowler B,21.84,118.04,1,0
11951,17-Jan-22,Bowling,Powerplay,6,3,Bowler A,16.54,126.09,1,0
30637,21-Jun-22,Bowling,Powerplay,5,1,Bowler A,31.71,148.35,2,0
82799,28-Aug-23,Batting,Powerplay,3,4,Bowler B,40.21,141.51,0,0
27857,13-Jan-23,Batting,Death,20,5,Bowler B,40.95,108.51,1,0
36797,15-Apr-23,Bowling,Powerplay,6,2,Bowler A,35.23,109.28,0,0
91588,19-Feb-23,Bowling,Powerplay,2,3,Bowler A,15.24,126.98,4,0
13271,03-Mar-23,Bowling,Death,20,5,Bowler A,33.45,128.8,3,0
36872,14-May-22,Neutral,Death,18,3,Bowler A,30.41,145.83,6,0
27383,07-Nov-22,Neutral,Powerplay,3,6,Bowler B,25.47,96.7,0,1
47158,02-Oct-23,Bowling,Powerplay,1,1,Bowler A,34.87,126.48,0,0
93324,01-May-23,Batting,Death,19,4,Bowler B,42.64,158.01,2,0
33401,27-Aug-23,Neutral,Powerplay,3,3,Bowler B,38.72,118.36,1,0
66160,08-Nov-22,Neutral,Powerplay,3,1,Bowler B,25.43,129.51,0,0
22926,01-Feb-22,Neutral,Powerplay,5,1,Bowler B,35.71,129.33,0,0
36797,15-Apr-23,Bowling,Powerplay,2,4,Bowler A,31.48,145.02,0,0
83932,14-May-23,Batting,Death,18,6,Bowler B,42,175.57,0,1
54941,03-May-22,Bowling,Powerplay,3,4,Bowler B,16.4,145.71,0,0
82588,08-Jun-22,Bowling,Death,16,4,Bowler A,23.99,135.77,0,0
30079,16-Jan-23,Bowling,Death,19,1,Bowler A,25.51,202.65,1,0
81011,31-Mar-22,Neutral,Powerplay,6,3,Bowler B,34.36,113.1,4,0
28058,16-Oct-22,Batting,Powerplay,2,5,Bowler A,32.33,143.27,4,0
55812,19-Dec-22,Bowling,Death,18,6,Bowler B,43.21,130.52,6,0
52823,11-Dec-22,Neutral,Powerplay,1,2,Bowler A,21.83,134.45,2,0
39738,18-Sep-23,Neutral,Death,19,5,Bowler B,24.01,155.28,3,0
33641,08-Sep-23,Neutral,Powerplay,2,6,Bowler B,26.4,141.17,1,0
51568,17-Sep-22,Neutral,Powerplay,1,2,Bowler A,7.57,144.01,0,0
68914,20-Apr-22,Bowling,Death,18,5,Bowler B,46.36,108.58,2,0
73788,07-Jul-23,Batting,Powerplay,6,1,Bowler B,27.03,115.85,0,0
69902,03-Apr-23,Bowling,Powerplay,4,3,Bowler A,23.41,125.85,0,0
97475,15-Nov-23,Batting,Death,18,5,Bowler A,40.37,118.58,2,0
84637,29-Jul-22,Batting,Powerplay,1,1,Bowler A,25.59,125.24,2,0
90102,07-Mar-22,Batting,Death,20,4,Bowler A,39.8,122.69,3,0
20547,12-Oct-23,Bowling,Death,18,6,Bowler B,18.36,167.66,1,0
97954,09-May-23,Batting,Death,20,5,Bowler A,44.25,150.64,4,0
43149,20-Nov-23,Batting,Powerplay,4,1,Bowler B,6.8,135.09,0,0
