Match_ID,Match_Date,Pitch_Type,Phase,Over,Ball,Bowler,Batter_Avg,Batter_SR,Runs_Conceded,Is_Wicket,Is_Death,Is_Dot,Is_Pressure_Ball,Next_Is_Wicket,Next_Over,Next_Ball,Valid_Next,Bowler_B,Pitch_Batting,Pitch_Bowling,Pitch_Neutral,Batter_Avg_z
11935,28-Jan-23,Batting,Powerplay,2,1,Bowler B,33.46,131.68,0,0,0,1,0,0,2.0,2.0,1,0,True,False,False,0.20021256353574227
11935,28-Jan-23,Batting,Powerplay,2,2,Bowler B,41.41,138.41,3,0,0,0,0,0,2.0,3.0,1,0,True,False,False,1.0124461003236662
11935,28-Jan-23,Batting,Powerplay,2,3,Bowler B,26.8,107.22,0,0,0,1,0,0,2.0,4.0,1,0,True,False,False,-0.48022458803753776
11935,28-Jan-23,Batting,Powerplay,2,4,Bowler B,9.31,136.44,0,0,0,1,0,1,2.0,5.0,1,0,True,False,False,-2.267138368970971
11935,28-Jan-23,Batting,Powerplay,2,5,Bowler B,19.52,105.85,0,1,0,1,0,1,2.0,6.0,1,0,True,False,False,-1.2240057387062284
11935,28-Jan-23,Batting,Powerplay,6,1,Bowler B,27.91,137.66,2,0,0,0,0,0,6.0,2.0,1,0,True,False,False,-0.3668183961086578
11935,28-Jan-23,Batting,Powerplay,6,2,Bowler B,26.83,115.52,4,0,0,0,0,0,6.0,3.0,1,0,True,False,False,-0.47715955582324393
11935,28-Jan-23,Batting,Powerplay,6,3,Bowler B,43.2,130.75,3,0,0,0,0,0,6.0,4.0,1,0,True,False,False,1.1953263557765454
11935,28-Jan-23,Batting,Powerplay,6,4,Bowler B,32.37,124.62,1,0,0,0,0,0,6.0,5.0,1,0,True,False,False,0.08884972641639127
11935,28-Jan-23,Batting,Powerplay,6,5,Bowler B,31.31,125.08,0,0,0,1,0,0,6.0,6.0,1,0,True,False,False,-0.01944807848866517
11935,28-Jan-23,Batting,Death,17,1,Bowler B,33.65,148.68,4,0,1,0,0,0,17.0,2.0,1,0,True,False,False,0.21962443422627104
11935,28-Jan-23,Batting,Death,17,2,Bowler B,40.02,117.55,6,0,1,0,0,0,17.0,3.0,1,0,True,False,False,0.8704329410613756
11935,28-Jan-23,Batting,Death,17,3,Bowler B,29.46,134.73,0,0,1,1,1,0,17.0,4.0,1,0,True,False,False,-0.2084583983701316
11935,28-Jan-23,Batting,Death,17,4,Bowler B,36.61,182.3,2,0,1,0,0,0,17.0,5.0,1,0,True,False,False,0.5220409460366178
11935,28-Jan-23,Batting,Death,17,5,Bowler B,37.55,173.87,6,0,1,0,0,0,17.0,6.0,1,0,True,False,False,0.6180786220844979
